intersection_id,file_name_1,lat_1,lon_1,file_name_2,lat_2,lon_2,mag1,mag2
1,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6211502,129.6763092,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line04.trk,29.6211013,129.6762702,139.9,405.0
2,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6201779,129.6785821,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line05.trk,29.6201662,129.67863,219.6,111.1
3,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6142404,129.6867026,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line07.trk,29.6142103,129.6866641,304.9,nan
4,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.619098,129.6810543,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line09.trk,29.619091,129.6810509,11.4,147.3
5,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6186366,129.6820137,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line10.trk,29.6186,129.68201,79.7,-2.2
6,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6166678,129.6846065,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line12.trk,29.6166681,129.6845718,330.3,401.9
7,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6152814,129.685539,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line13.trk,29.6152962,129.68553,245.3,97.2
8,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.613571,129.6873562,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line14.trk,29.6135687,129.6874142,292.7,371.0
9,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line01.trk,29.6116412,129.6897989,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line16.trk,29.6116317,129.68985,399.9,286.7
10,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line04.trk,29.6181711,129.6762942,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line07.trk,29.6181445,129.6763487,333.1,nan
11,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line04.trk,29.6100042,129.6763889,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line08.trk,29.6100104,129.676381,492.0,nan
12,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line05.trk,29.6171257,129.6785702,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line07.trk,29.61711,129.6785042,11.0,nan
13,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line05.trk,29.6087397,129.6783999,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line08.trk,29.6087427,129.6783981,89.5,nan
14,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line05.trk,29.6264171,129.6784607,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line20.trk,29.62642,129.67843,-8.9,-55.8
15,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line06.trk,29.6030905,129.6848997,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line08.trk,29.6031244,129.6848669,-6.2,nan
16,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line06.trk,29.6029521,129.6846704,/home/koe3/work/stcmkitpy/test_data/lines/G_SW24line12.trk,29.60296,129.68462,2.9,-20.2
